place_feature_id,road_feature_id,road_surface,road_length_in_place_km,road_length_total_km,road_length_share_of_road
175301,7742867,sealed,0.08500939311378058,0.0850047360261108,1.0000547862141276
175301,7742868,sealed,0.06938119045900647,0.0693559437051328,1.0003640171631287
175301,7742869,sealed,0.0787968745726846,0.0788241632859059,0.9996538026909043
175301,7742870,sealed,0.18516517736634852,0.1850612542298134,1.0005615607489944
175301,7742871,sealed,0.2222987061058137,0.2223124238457175,0.9999382952168552
175301,7742872,sealed,0.08130837429328758,0.0813495951389239,0.9994932876363315
175301,8324992,sealed,0.064152624893776,12.152923828724996,0.005278781122789813
175301,8325085,sealed,0.04833290467208175,2.2453781609934373,0.02152550760122184
175301,8328190,sealed,0.2705059408337553,0.2704404821971462,1.0002420445196565
175301,8329763,sealed,0.08712596123331304,0.0871647516454216,0.9995549759349243
175301,8329764,sealed,0.04309441225874926,0.0430644350344876,1.0006961016494853
175301,8329765,sealed,0.060265250972749596,0.0602646859753984,1.000009375264171
175301,8329766,sealed,0.054155754278942404,0.0541782842794423,0.9995841507201725
175301,8329767,sealed,0.06997644349733491,0.0700050009946749,0.9995920648963043
175301,8329768,sealed,0.04297005566785607,0.0430063579795674,0.9991558850035945
175301,8329769,sealed,0.04596612541935968,0.0459895373840412,0.9994909284586619
175302,3234622,sealed,0.2851469230359962,0.7257448849455491,0.3929024219817823
175302,3258192,sealed,0.28144922037661435,0.5988607698004463,0.46997438230993066
175302,3283338,sealed,0.2028934779695031,0.2029097225082036,0.9999199420387564
175302,3283507,sealed,0.1366483574813109,0.1365889052876974,1.000435263709657
175302,3314483,sealed,0.12699600087069102,0.1269565086343909,1.000311069016665
175302,3314484,sealed,0.11168968494747361,0.1117083002501055,0.9998333579278333
175302,3314502,sealed,0.10840330229401944,0.1083728681021457,1.0002808285173836
175302,3314503,sealed,0.13032396309926575,0.1302700854104073,1.0004135845055195
175302,3314504,sealed,0.19619758382296873,0.1962368089636889,0.9998001132360065
175302,3314505,sealed,0.1297535198486623,0.1296649714646441,1.0006829013496705
175302,3314506,sealed,0.19843143577385003,0.1984548382775923,0.9998820764263275
175302,3314508,sealed,0.16047888808984162,0.1604936730139406,0.9999078784613665
175302,3314897,sealed,0.1765204803685862,0.1765089727653118,1.0000651955710473
175302,3314898,sealed,0.08739895744226754,0.0874029091016493,0.9999547880108067
175302,3314902,sealed,0.048961677754203736,0.0490011180702967,0.999195113955637
175302,3314903,sealed,0.06943879098384527,0.0693970782089625,1.0006010739350895
175302,6064042,sealed,0.0017664407389172705,0.8585967012722837,0.002057357938016449
175302,6064320,sealed,0.27193140847806213,0.2718856197553277,1.000168411712159
175302,6064545,sealed,0.24882054703890344,0.2488304163908659,0.9999603370355377
175302,6064546,sealed,0.100535641715816,0.1005020609039829,1.0003341305793239
175302,6064547,sealed,0.16198515748596695,0.1620739683357118,0.999452035075979
175302,6064591,sealed,0.03309295886913566,0.0664452102040507,0.49804882500195946
175302,6064592,sealed,0.028460125988724844,0.0656743098084776,0.4333524946317906
175302,6064593,sealed,0.10411926204437762,0.1041379908765131,0.9998201537020462
175302,6064594,sealed,0.04335103098681219,0.0433836933959888,0.9992471270512062
175302,6082141,sealed,0.21937338596522996,0.2194251838856012,0.9997639381248132
175302,6082180,sealed,0.16748025192802674,0.1674259454297016,1.0003243613060435
175302,6082181,sealed,0.40232600158645404,0.4022675564577485,1.0001452891931435
175302,6082182,sealed,0.16775709720344134,0.1676617850135909,1.0005684789163058
175302,6082272,sealed,0.36115686834915095,0.3611488774232955,1.000022126403694
175302,7741072,sealed,0.8682211868504457,2.2041224384578606,0.39390787539820454
