geometry_id,layer_type,point1_latitude,point1_longitude,scatter_radius,heatmap_weight,scatter_fill_color_hex,crash_severity,crash_severity_code,crash_year,fatal_count,serious_injury_count,minor_injury_count,pedestrian,bicycle,motorcycle,speed_limit,tooltip_html
crash_60074,scatter,-37.780274,175.297986,25,1.0,#51127cee,Non-Injury Crash,1,2025,0,0,0,,0,0,50,<div><strong>Non-Injury Crash</strong><br><span>Year: 2025</span><br><span>Speed limit: 50 km/h</span><br><span>Fatal: 0 | Serious: 0 | Minor: 0</span></div>
crash_60075,scatter,-37.790514,175.28418,25,1.0,#51127cee,Non-Injury Crash,1,2023,0,0,0,,0,0,30,<div><strong>Non-Injury Crash</strong><br><span>Year: 2023</span><br><span>Speed limit: 30 km/h</span><br><span>Fatal: 0 | Serious: 0 | Minor: 0</span></div>
crash_60076,scatter,-37.774728,175.284911,25,1.0,#51127cee,Non-Injury Crash,1,2023,0,0,0,,0,0,50,<div><strong>Non-Injury Crash</strong><br><span>Year: 2023</span><br><span>Speed limit: 50 km/h</span><br><span>Fatal: 0 | Serious: 0 | Minor: 0</span></div>
crash_60077,scatter,-37.784313,175.277419,25,2.0,#b5367aee,Minor Crash,2,2026,0,0,2,1,0,0,50,<div><strong>Minor Crash</strong><br><span>Year: 2026</span><br><span>Speed limit: 50 km/h</span><br><span>Fatal: 0 | Serious: 0 | Minor: 2</span></div>
crash_60078,scatter,-37.750164,175.293762,25,1.0,#51127cee,Non-Injury Crash,1,2024,0,0,0,,0,0,50,<div><strong>Non-Injury Crash</strong><br><span>Year: 2024</span><br><span>Speed limit: 50 km/h</span><br><span>Fatal: 0 | Serious: 0 | Minor: 0</span></div>
crash_60079,scatter,-37.790576,175.291409,25,1.0,#51127cee,Non-Injury Crash,1,2022,0,0,0,1,0,0,50,<div><strong>Non-Injury Crash</strong><br><span>Year: 2022</span><br><span>Speed limit: 50 km/h</span><br><span>Fatal: 0 | Serious: 0 | Minor: 0</span></div>
crash_60080,scatter,-37.750839,175.293767,25,1.0,#51127cee,Non-Injury Crash,1,2025,0,0,0,,0,0,80,<div><strong>Non-Injury Crash</strong><br><span>Year: 2025</span><br><span>Speed limit: 80 km/h</span><br><span>Fatal: 0 | Serious: 0 | Minor: 0</span></div>
crash_60081,scatter,-37.795168,175.269217,25,1.0,#51127cee,Non-Injury Crash,1,2022,0,0,0,,0,0,50,<div><strong>Non-Injury Crash</strong><br><span>Year: 2022</span><br><span>Speed limit: 50 km/h</span><br><span>Fatal: 0 | Serious: 0 | Minor: 0</span></div>
crash_60082,scatter,-37.770712,175.240361,25,1.0,#51127cee,Non-Injury Crash,1,2025,0,0,0,,0,0,50,<div><strong>Non-Injury Crash</strong><br><span>Year: 2025</span><br><span>Speed limit: 50 km/h</span><br><span>Fatal: 0 | Serious: 0 | Minor: 0</span></div>
crash_60083,scatter,-37.789695,175.281753,25,1.0,#51127cee,Non-Injury Crash,1,2025,0,0,0,,0,0,50,<div><strong>Non-Injury Crash</strong><br><span>Year: 2025</span><br><span>Speed limit: 50 km/h</span><br><span>Fatal: 0 | Serious: 0 | Minor: 0</span></div>
crash_60084,scatter,-37.794894,175.248097,25,1.0,#51127cee,Non-Injury Crash,1,2024,0,0,0,,0,0,50,<div><strong>Non-Injury Crash</strong><br><span>Year: 2024</span><br><span>Speed limit: 50 km/h</span><br><span>Fatal: 0 | Serious: 0 | Minor: 0</span></div>
crash_60085,scatter,-37.778327,175.269907,25,1.0,#51127cee,Non-Injury Crash,1,2024,0,0,0,,0,0,40,<div><strong>Non-Injury Crash</strong><br><span>Year: 2024</span><br><span>Speed limit: 40 km/h</span><br><span>Fatal: 0 | Serious: 0 | Minor: 0</span></div>
crash_60086,scatter,-37.768604,175.233519,25,1.0,#51127cee,Non-Injury Crash,1,2025,0,0,0,1,0,0,50,<div><strong>Non-Injury Crash</strong><br><span>Year: 2025</span><br><span>Speed limit: 50 km/h</span><br><span>Fatal: 0 | Serious: 0 | Minor: 0</span></div>
crash_60087,scatter,-37.780813,175.249069,25,1.0,#51127cee,Non-Injury Crash,1,2022,0,0,0,,0,0,50,<div><strong>Non-Injury Crash</strong><br><span>Year: 2022</span><br><span>Speed limit: 50 km/h</span><br><span>Fatal: 0 | Serious: 0 | Minor: 0</span></div>
crash_60088,scatter,-37.808892,175.277686,25,1.0,#51127cee,Non-Injury Crash,1,2023,0,0,0,,0,0,50,<div><strong>Non-Injury Crash</strong><br><span>Year: 2023</span><br><span>Speed limit: 50 km/h</span><br><span>Fatal: 0 | Serious: 0 | Minor: 0</span></div>
crash_60089,scatter,-37.768305,175.254003,25,1.0,#51127cee,Non-Injury Crash,1,2023,0,0,0,,0,0,50,<div><strong>Non-Injury Crash</strong><br><span>Year: 2023</span><br><span>Speed limit: 50 km/h</span><br><span>Fatal: 0 | Serious: 0 | Minor: 0</span></div>
crash_60090,scatter,-37.79215,175.2821,25,1.0,#51127cee,Non-Injury Crash,1,2023,0,0,0,,0,0,50,<div><strong>Non-Injury Crash</strong><br><span>Year: 2023</span><br><span>Speed limit: 50 km/h</span><br><span>Fatal: 0 | Serious: 0 | Minor: 0</span></div>
crash_60091,scatter,-37.758751,175.297346,25,4.0,#fb8861ee,Serious Crash,3,2024,0,1,0,,0,0,80,<div><strong>Serious Crash</strong><br><span>Year: 2024</span><br><span>Speed limit: 80 km/h</span><br><span>Fatal: 0 | Serious: 1 | Minor: 0</span></div>
crash_60092,scatter,-37.780584,175.249297,25,1.0,#51127cee,Non-Injury Crash,1,2021,0,0,0,,0,0,50,<div><strong>Non-Injury Crash</strong><br><span>Year: 2021</span><br><span>Speed limit: 50 km/h</span><br><span>Fatal: 0 | Serious: 0 | Minor: 0</span></div>
crash_60093,scatter,-37.790328,175.292313,25,1.0,#51127cee,Non-Injury Crash,1,2023,0,0,0,,0,0,50,<div><strong>Non-Injury Crash</strong><br><span>Year: 2023</span><br><span>Speed limit: 50 km/h</span><br><span>Fatal: 0 | Serious: 0 | Minor: 0</span></div>
crash_60094,scatter,-37.751526,175.280731,25,2.0,#b5367aee,Minor Crash,2,2025,0,0,1,,0,0,50,<div><strong>Minor Crash</strong><br><span>Year: 2025</span><br><span>Speed limit: 50 km/h</span><br><span>Fatal: 0 | Serious: 0 | Minor: 1</span></div>
crash_60095,scatter,-37.73178,175.210717,25,1.0,#51127cee,Non-Injury Crash,1,2025,0,0,0,,0,0,80,<div><strong>Non-Injury Crash</strong><br><span>Year: 2025</span><br><span>Speed limit: 80 km/h</span><br><span>Fatal: 0 | Serious: 0 | Minor: 0</span></div>
crash_60096,scatter,-37.802259,175.246927,25,1.0,#51127cee,Non-Injury Crash,1,2023,0,0,0,,0,0,50,<div><strong>Non-Injury Crash</strong><br><span>Year: 2023</span><br><span>Speed limit: 50 km/h</span><br><span>Fatal: 0 | Serious: 0 | Minor: 0</span></div>
crash_60097,scatter,-37.739381,175.26174,25,1.0,#51127cee,Non-Injury Crash,1,2022,0,0,0,,0,0,80,<div><strong>Non-Injury Crash</strong><br><span>Year: 2022</span><br><span>Speed limit: 80 km/h</span><br><span>Fatal: 0 | Serious: 0 | Minor: 0</span></div>
crash_60098,scatter,-37.762394,175.288073,25,1.0,#51127cee,Non-Injury Crash,1,2022,0,0,0,,0,0,50,<div><strong>Non-Injury Crash</strong><br><span>Year: 2022</span><br><span>Speed limit: 50 km/h</span><br><span>Fatal: 0 | Serious: 0 | Minor: 0</span></div>
crash_60099,scatter,-37.79791,175.281097,25,1.0,#51127cee,Non-Injury Crash,1,2022,0,0,0,,0,0,50,<div><strong>Non-Injury Crash</strong><br><span>Year: 2022</span><br><span>Speed limit: 50 km/h</span><br><span>Fatal: 0 | Serious: 0 | Minor: 0</span></div>
crash_60100,scatter,-37.750536,175.293926,25,1.0,#51127cee,Non-Injury Crash,1,2021,0,0,0,,0,0,80,<div><strong>Non-Injury Crash</strong><br><span>Year: 2021</span><br><span>Speed limit: 80 km/h</span><br><span>Fatal: 0 | Serious: 0 | Minor: 0</span></div>
crash_60101,scatter,-37.820047,175.28253,25,1.0,#51127cee,Non-Injury Crash,1,2023,0,0,0,,0,0,50,<div><strong>Non-Injury Crash</strong><br><span>Year: 2023</span><br><span>Speed limit: 50 km/h</span><br><span>Fatal: 0 | Serious: 0 | Minor: 0</span></div>
crash_60102,scatter,-37.823621,175.278196,25,1.0,#51127cee,Non-Injury Crash,1,2025,0,0,0,,0,0,50,<div><strong>Non-Injury Crash</strong><br><span>Year: 2025</span><br><span>Speed limit: 50 km/h</span><br><span>Fatal: 0 | Serious: 0 | Minor: 0</span></div>
crash_60103,scatter,-37.822064,175.286914,25,1.0,#51127cee,Non-Injury Crash,1,2022,0,0,0,,0,0,50,<div><strong>Non-Injury Crash</strong><br><span>Year: 2022</span><br><span>Speed limit: 50 km/h</span><br><span>Fatal: 0 | Serious: 0 | Minor: 0</span></div>
crash_60104,scatter,-37.794655,175.247559,25,1.0,#51127cee,Non-Injury Crash,1,2022,0,0,0,,0,0,50,<div><strong>Non-Injury Crash</strong><br><span>Year: 2022</span><br><span>Speed limit: 50 km/h</span><br><span>Fatal: 0 | Serious: 0 | Minor: 0</span></div>
crash_60105,scatter,-37.731686,175.259439,25,1.0,#51127cee,Non-Injury Crash,1,2024,0,0,0,,0,0,80,<div><strong>Non-Injury Crash</strong><br><span>Year: 2024</span><br><span>Speed limit: 80 km/h</span><br><span>Fatal: 0 | Serious: 0 | Minor: 0</span></div>
crash_60106,scatter,-37.789392,175.275405,25,1.0,#51127cee,Non-Injury Crash,1,2023,0,0,0,,0,0,50,<div><strong>Non-Injury Crash</strong><br><span>Year: 2023</span><br><span>Speed limit: 50 km/h</span><br><span>Fatal: 0 | Serious: 0 | Minor: 0</span></div>
crash_60107,scatter,-37.754101,175.257038,25,1.0,#51127cee,Non-Injury Crash,1,2022,0,0,0,,0,0,50,<div><strong>Non-Injury Crash</strong><br><span>Year: 2022</span><br><span>Speed limit: 50 km/h</span><br><span>Fatal: 0 | Serious: 0 | Minor: 0</span></div>
crash_60108,scatter,-37.772717,175.239888,25,1.0,#51127cee,Non-Injury Crash,1,2024,0,0,0,,0,0,50,<div><strong>Non-Injury Crash</strong><br><span>Year: 2024</span><br><span>Speed limit: 50 km/h</span><br><span>Fatal: 0 | Serious: 0 | Minor: 0</span></div>
crash_60109,scatter,-37.794711,175.247526,25,1.0,#51127cee,Non-Injury Crash,1,2024,0,0,0,,0,0,50,<div><strong>Non-Injury Crash</strong><br><span>Year: 2024</span><br><span>Speed limit: 50 km/h</span><br><span>Fatal: 0 | Serious: 0 | Minor: 0</span></div>
crash_60110,scatter,-37.78166,175.28888,25,1.0,#51127cee,Non-Injury Crash,1,2022,0,0,0,,0,0,50,<div><strong>Non-Injury Crash</strong><br><span>Year: 2022</span><br><span>Speed limit: 50 km/h</span><br><span>Fatal: 0 | Serious: 0 | Minor: 0</span></div>
crash_60111,scatter,-37.777841,175.271349,25,1.0,#51127cee,Non-Injury Crash,1,2024,0,0,0,,0,0,50,<div><strong>Non-Injury Crash</strong><br><span>Year: 2024</span><br><span>Speed limit: 50 km/h</span><br><span>Fatal: 0 | Serious: 0 | Minor: 0</span></div>
crash_60112,scatter,-37.795059,175.284622,25,4.0,#fb8861ee,Serious Crash,3,2024,0,1,3,,0,0,80,<div><strong>Serious Crash</strong><br><span>Year: 2024</span><br><span>Speed limit: 80 km/h</span><br><span>Fatal: 0 | Serious: 1 | Minor: 3</span></div>
crash_60113,scatter,-37.810207,175.285324,25,1.0,#51127cee,Non-Injury Crash,1,2022,0,0,0,,0,0,50,<div><strong>Non-Injury Crash</strong><br><span>Year: 2022</span><br><span>Speed limit: 50 km/h</span><br><span>Fatal: 0 | Serious: 0 | Minor: 0</span></div>
crash_60114,scatter,-37.79063,175.259946,25,1.0,#51127cee,Non-Injury Crash,1,2022,0,0,0,,0,0,60,<div><strong>Non-Injury Crash</strong><br><span>Year: 2022</span><br><span>Speed limit: 60 km/h</span><br><span>Fatal: 0 | Serious: 0 | Minor: 0</span></div>
crash_60115,scatter,-37.754837,175.271358,25,1.0,#51127cee,Non-Injury Crash,1,2022,0,0,0,,0,0,40,<div><strong>Non-Injury Crash</strong><br><span>Year: 2022</span><br><span>Speed limit: 40 km/h</span><br><span>Fatal: 0 | Serious: 0 | Minor: 0</span></div>
crash_60116,scatter,-37.746491,175.23305,25,1.0,#51127cee,Non-Injury Crash,1,2022,0,0,0,,0,1,50,<div><strong>Non-Injury Crash</strong><br><span>Year: 2022</span><br><span>Speed limit: 50 km/h</span><br><span>Fatal: 0 | Serious: 0 | Minor: 0</span></div>
crash_60117,scatter,-37.795966,175.267416,25,1.0,#51127cee,Non-Injury Crash,1,2023,0,0,0,,0,0,50,<div><strong>Non-Injury Crash</strong><br><span>Year: 2023</span><br><span>Speed limit: 50 km/h</span><br><span>Fatal: 0 | Serious: 0 | Minor: 0</span></div>
crash_60118,scatter,-37.758398,175.283416,25,2.0,#b5367aee,Minor Crash,2,2024,0,0,1,,0,0,50,<div><strong>Minor Crash</strong><br><span>Year: 2024</span><br><span>Speed limit: 50 km/h</span><br><span>Fatal: 0 | Serious: 0 | Minor: 1</span></div>
crash_60119,scatter,-37.788488,175.277298,25,1.0,#51127cee,Non-Injury Crash,1,2024,0,0,0,,0,0,50,<div><strong>Non-Injury Crash</strong><br><span>Year: 2024</span><br><span>Speed limit: 50 km/h</span><br><span>Fatal: 0 | Serious: 0 | Minor: 0</span></div>
crash_60120,scatter,-37.789746,175.258158,25,2.0,#b5367aee,Minor Crash,2,2025,0,0,1,,0,0,50,<div><strong>Minor Crash</strong><br><span>Year: 2025</span><br><span>Speed limit: 50 km/h</span><br><span>Fatal: 0 | Serious: 0 | Minor: 1</span></div>
