geometry_id,sa2_code,sa2_name,center_lat,center_lon,land_area_sq_km,area_sq_km,has_geometry
sa2_178100,178100,Dinsdale South,-37.79839006688951,175.2393146050042,1.56104002,1.56104002,True
sa2_178201,178201,Fairfield North (Hamilton City),-37.76679565889904,175.28234610662437,0.73856153,0.73856153,True
sa2_178202,178202,Fairfield South (Hamilton City),-37.7712378403082,175.28602774314282,0.66056354,0.66056354,True
sa2_178301,178301,Whitiora,-37.777221001369945,175.26900516759136,0.7675529400000001,0.7675529400000001,True
sa2_178400,178400,Enderley North,-37.76256205244462,175.29423495483357,0.6952362100000001,0.6952362100000001,True
sa2_178500,178500,Fairview Downs,-37.76127567330443,175.30317362472283,1.1226970500000002,1.1226970500000002,True
sa2_178600,178600,Temple View,-37.81855261813461,175.22345632140684,4.37306756,4.37306756,True
sa2_178701,178701,Swarbrick,-37.79240620393337,175.25277565336296,0.7300809599999998,0.7300809599999998,True
sa2_178800,178800,Kahikatea,-37.7997674039857,175.25214469589284,0.97755455,0.97755455,True
sa2_178901,178901,Frankton Junction,-37.79592696152542,175.26300437719928,3.51651441,3.51651441,True
sa2_179001,179001,Kirikiriroa,-37.78104233118879,175.27616726213907,0.55573211,0.55573211,True
sa2_179100,179100,Enderley South,-37.7700602257614,175.29653860901306,0.7657546300000001,0.7657546300000001,True
sa2_179201,179201,Greenhill Park,-37.753763393822005,175.30543617140407,2.04395156,2.04395156,True
sa2_179202,179202,Ruakura,-37.77785711805331,175.32118550208628,6.980675290000001,6.980675290000001,True
sa2_179300,179300,Claudelands,-37.77969482609143,175.2879175015278,1.3830542099999998,1.3830542099999998,True
sa2_179401,179401,Hamilton Central,-37.78937741033796,175.28276636339749,1.02284806,1.02284806,True
sa2_179501,179501,Hamilton Lake North,-37.794736982320806,175.27422958426394,0.97736926,1.54096831,True
sa2_179502,179502,Hamilton Lake South,-37.803065450668925,175.2764442885721,1.46724421,1.46724421,True
sa2_179600,179600,Peachgrove,-37.78010349937266,175.3007564353992,1.43571286,1.43571286,True
sa2_179700,179700,Hamilton East Village,-37.79028168041858,175.29324652550554,1.32122464,1.32122464,True
sa2_179801,179801,Hamilton West,-37.7968513709746,175.285748224969,0.39945882,0.39945882,True
sa2_179901,179901,Greensboro,-37.78565039177126,175.3100917546465,0.44688317,0.44688317,True
sa2_180000,180000,Hamilton East Cook,-37.791352553138,175.30343133741732,0.7335844599999999,0.7335844599999999,True
sa2_180100,180100,Melville North,-37.81016433379707,175.27963706366566,0.68833492,0.68833492,True
sa2_180200,180200,Hamilton East,-37.80128047699723,175.3007634124884,2.22122213,2.22122213,True
sa2_180300,180300,Melville South,-37.81527531387432,175.27817492307554,0.98998375,0.98998375,True
sa2_180400,180400,Deanwell,-37.82034080618865,175.2741916546344,0.67020491,0.67020491,True
sa2_180500,180500,Bader,-37.80931576819681,175.29244054606363,1.0960052,1.0960052,True
sa2_180601,180601,Hillcrest West (Hamilton City),-37.79533366314449,175.3132347697218,0.8900317,0.8900317,True
sa2_180700,180700,Hillcrest East (Hamilton City),-37.7961051342553,175.3216712243885,1.01716801,1.01716801,True
sa2_180800,180800,Silverdale (Hamilton City),-37.79128986649212,175.32912390664603,0.8022218299999999,0.8022218299999999,True
sa2_180900,180900,Glenview,-37.81914876006494,175.2905483502504,0.8946026300000001,0.8946026300000001,True
sa2_181000,181000,Resthill,-37.82572526590094,175.2873740807168,1.12136603,1.12136603,True
sa2_181101,181101,Fitzroy (Hamilton City),-37.81785447884041,175.30086295024012,1.4894465699999997,1.4894465699999997,True
sa2_181200,181200,Riverlea,-37.80516291834676,175.3249033775805,1.7394653800000002,1.7394653800000002,True
sa2_181301,181301,Peacocke,-37.82349960190359,175.3129919779678,6.932856650000001,6.932856650000001,True
