geometry_id,layer_type,origin_geometry_id,origin_sa2_code,origin_sa2_name,origin_sa2_reference_name,destination_geometry_id,destination_sa2_code,destination_sa2_name,destination_sa2_reference_name,point1_latitude,point1_longitude,point2_latitude,point2_longitude,people_count,people_count_rank,arc_line_width_m,arc_opacity,arc_count_band,arc_count_band_sort_order,arc_source_color_value,arc_target_color_value,arc_base_color_hex,arc_source_color_rgba,arc_target_color_rgba,count_2023_work_at_home,count_2023_drive_a_private_car_truck_or_van,count_2023_drive_a_company_car_truck_or_van,count_2023_passenger_in_a_car_truck_van_or_company_bus,count_2023_public_bus,count_2023_train,count_2023_bicycle,count_2023_walk_or_jog,count_2023_ferry,count_2023_other,count_2023_total_stated,origin_has_geometry,destination_has_geometry,has_origin_point,has_destination_point,has_both_points,is_same_sa2,arc_is_valid,tooltip_html
sa2_od_178100__179401,arc,sa2_178100,178100,Dinsdale South,Dinsdale South,sa2_179401,179401,Hamilton Central,Hamilton Central,-37.79839006688951,175.2393146050042,-37.78937741033796,175.28276636339749,207,21,373,0.733,Very high (200+),5,207,207,#fed773ff,"rgba(254, 228, 156, 0.528)","rgba(254, 215, 115, 0.733)",,153,18,15,9,,,,,,207,True,True,True,True,True,False,True,<div><span>Origin SA2: Dinsdale South (178100)</span><br><span>Destination SA2: Hamilton Central (179401)</span><br><span>People count: 207</span></div>
sa2_od_179300__179401,arc,sa2_179300,179300,Claudelands,Claudelands,sa2_179401,179401,Hamilton Central,Hamilton Central,-37.77969482609143,175.2879175015278,-37.78937741033796,175.28276636339749,207,22,373,0.733,Very high (200+),5,207,207,#fed773ff,"rgba(254, 228, 156, 0.528)","rgba(254, 215, 115, 0.733)",,84,15,,6,,15,69,,9,207,True,True,True,True,True,False,True,<div><span>Origin SA2: Claudelands (179300)</span><br><span>Destination SA2: Hamilton Central (179401)</span><br><span>People count: 207</span></div>
sa2_od_176500__176301,arc,sa2_176500,176500,Saint Andrews East,Saint Andrews East,sa2_176301,176301,Te Rapa South,Te Rapa South,-37.75171614583245,175.2581129222292,-37.75883079239065,175.23971391369508,204,23,372,0.731,Very high (200+),5,204,204,#fed875ff,"rgba(254, 229, 158, 0.526)","rgba(254, 216, 117, 0.731)",,132,33,12,,,9,9,,,204,True,True,True,True,True,False,True,<div><span>Origin SA2: Saint Andrews East (176500)</span><br><span>Destination SA2: Te Rapa South (176301)</span><br><span>People count: 204</span></div>
sa2_od_177000__178901,arc,sa2_177000,177000,Western Heights (Hamilton City),Western Heights (Hamilton City),sa2_178901,178901,Frankton Junction,Frankton Junction,-37.78528581595473,175.22663966802807,-37.79592696152542,175.26300437719928,204,24,372,0.731,Very high (200+),5,204,204,#fed875ff,"rgba(254, 229, 158, 0.526)","rgba(254, 216, 117, 0.731)",,138,51,9,,,,,,,204,True,True,True,True,True,False,True,<div><span>Origin SA2: Western Heights (Hamilton City) (177000)</span><br><span>Destination SA2: Frankton Junction (178901)</span><br><span>People count: 204</span></div>
sa2_od_176800__176301,arc,sa2_176800,176800,Crawshaw,Crawshaw,sa2_176301,176301,Te Rapa South,Te Rapa South,-37.77209971912111,175.23499752011205,-37.75883079239065,175.23971391369508,201,25,370,0.728,Very high (200+),5,201,201,#fed976ff,"rgba(254, 229, 158, 0.524)","rgba(254, 217, 118, 0.728)",,162,12,12,,,,,,,201,True,True,True,True,True,False,True,<div><span>Origin SA2: Crawshaw (176800)</span><br><span>Destination SA2: Te Rapa South (176301)</span><br><span>People count: 201</span></div>
sa2_od_179700__179401,arc,sa2_179700,179700,Hamilton East Village,Hamilton East Village,sa2_179401,179401,Hamilton Central,Hamilton Central,-37.79028168041858,175.29324652550554,-37.78937741033796,175.28276636339749,198,26,369,0.726,High (85-199),4,198,198,#ffda77ff,"rgba(255, 230, 159, 0.523)","rgba(255, 218, 119, 0.726)",,87,9,12,9,,18,60,,,198,True,True,True,True,True,False,True,<div><span>Origin SA2: Hamilton East Village (179700)</span><br><span>Destination SA2: Hamilton Central (179401)</span><br><span>People count: 198</span></div>
sa2_od_175700__176301,arc,sa2_175700,175700,Pukete West,Pukete West,sa2_176301,176301,Te Rapa South,Te Rapa South,-37.7394204097837,175.23527032865633,-37.75883079239065,175.23971391369508,195,27,368,0.723,High (85-199),4,195,195,#ffdb79ff,"rgba(255, 230, 160, 0.521)","rgba(255, 219, 121, 0.723)",,135,36,,,,,9,,6,195,True,True,True,True,True,False,True,<div><span>Origin SA2: Pukete West (175700)</span><br><span>Destination SA2: Te Rapa South (176301)</span><br><span>People count: 195</span></div>
sa2_od_179901__179401,arc,sa2_179901,179901,Greensboro,Greensboro,sa2_179401,179401,Hamilton Central,Hamilton Central,-37.78565039177126,175.3100917546465,-37.78937741033796,175.28276636339749,195,28,368,0.723,High (85-199),4,195,195,#ffdb79ff,"rgba(255, 230, 160, 0.521)","rgba(255, 219, 121, 0.723)",,126,,6,36,,6,9,,6,195,True,True,True,True,True,False,True,<div><span>Origin SA2: Greensboro (179901)</span><br><span>Destination SA2: Hamilton Central (179401)</span><br><span>People count: 195</span></div>
sa2_od_181101__179401,arc,sa2_181101,181101,Fitzroy (Hamilton City),Fitzroy (Hamilton City),sa2_179401,179401,Hamilton Central,Hamilton Central,-37.81785447884041,175.30086295024012,-37.78937741033796,175.28276636339749,192,29,366,0.721,High (85-199),4,192,192,#ffdb7aff,"rgba(255, 230, 160, 0.519)","rgba(255, 219, 122, 0.721)",,141,9,18,15,,6,,,,192,True,True,True,True,True,False,True,<div><span>Origin SA2: Fitzroy (Hamilton City) (181101)</span><br><span>Destination SA2: Hamilton Central (179401)</span><br><span>People count: 192</span></div>
sa2_od_178000__176301,arc,sa2_178000,178000,Maeroa,Maeroa,sa2_176301,176301,Te Rapa South,Te Rapa South,-37.77834857089125,175.26028849396485,-37.75883079239065,175.23971391369508,189,30,365,0.718,High (85-199),4,189,189,#ffdc7bff,"rgba(255, 231, 161, 0.517)","rgba(255, 220, 123, 0.718)",,141,24,9,,,6,,,,189,True,True,True,True,True,False,True,<div><span>Origin SA2: Maeroa (178000)</span><br><span>Destination SA2: Te Rapa South (176301)</span><br><span>People count: 189</span></div>
