place_feature_id,road_surface,road_length_km,place_area_km2,road_density_km_per_km2
179300,metalled,0.0,1.3830542099999998,0.0
179300,sealed,11.993959498157096,1.3830542099999998,8.672081984521126
179300,unmetalled,0.0,1.3830542099999998,0.0
179202,metalled,0.0,6.980675290000001,0.0
179202,sealed,14.676440818991619,6.980675290000001,2.1024385477456606
179202,unmetalled,5.177398251776447,6.980675290000001,0.7416758460593641
179201,metalled,0.59138353706814,2.04395156,0.28933344049902043
179201,sealed,15.250002785499861,2.04395156,7.4610392359297695
179201,unmetalled,0.00875216671377772,2.04395156,0.004281983431044579
179100,metalled,0.0,0.7657546300000001,0.0
179100,sealed,6.954224974491391,0.7657546300000001,9.081531736205617
179100,unmetalled,0.0,0.7657546300000001,0.0
179001,metalled,0.0,0.55573211,0.0
179001,sealed,5.4586463705022625,0.55573211,9.822441914508525
179001,unmetalled,0.0,0.55573211,0.0
178901,metalled,0.0,3.51651441,0.0
178901,sealed,25.794318845356255,3.51651441,7.335194979438817
178901,unmetalled,0.0,3.51651441,0.0
178800,metalled,0.0,0.97755455,0.0
178800,sealed,10.327981731191896,0.97755455,10.565120617761838
178800,unmetalled,0.0,0.97755455,0.0
178701,metalled,0.0,0.7300809599999998,0.0
178701,sealed,7.90981861381483,0.7300809599999998,10.834166410551004
178701,unmetalled,0.0,0.7300809599999998,0.0
178600,metalled,0.40414232469250155,4.37306756,0.0924162087933765
178600,sealed,10.312559389435323,4.37306756,2.3581980492968473
178600,unmetalled,1.1073828988096528,4.37306756,0.2532279420832119
178500,metalled,0.0,1.1226970500000002,0.0
178500,sealed,13.494248899594663,1.1226970500000002,12.019492613430009
178500,unmetalled,0.0,1.1226970500000002,0.0
178400,metalled,0.0,0.6952362100000001,0.0
178400,sealed,7.842026588218251,0.6952362100000001,11.279657870838243
178400,unmetalled,0.0,0.6952362100000001,0.0
178301,metalled,0.0,0.7675529400000001,0.0
178301,sealed,5.15443274983284,0.7675529400000001,6.715410079509095
178301,unmetalled,0.0,0.7675529400000001,0.0
178202,metalled,0.0,0.66056354,0.0
178202,sealed,6.6421573583282205,0.66056354,10.05528909198988
178202,unmetalled,0.0,0.66056354,0.0
178201,metalled,0.0,0.73856153,0.0
178201,sealed,6.343816690695873,0.73856153,8.58942204950192
178201,unmetalled,0.0,0.73856153,0.0
178100,metalled,0.0,1.56104002,0.0
178100,sealed,14.99867626818382,1.56104002,9.608130525816897
178100,unmetalled,0.13458989066052737,1.56104002,0.08621809110347303
178000,metalled,0.0,1.27988267,0.0
178000,sealed,13.936004945186664,1.27988267,10.888501947750152
178000,unmetalled,0.0,1.27988267,0.0
177901,metalled,0.0,1.28602904,0.0
177901,sealed,11.119843853001825,1.28602904,8.646650664281909
177901,unmetalled,0.0,1.28602904,0.0
177800,metalled,0.0,1.2338954099999997,0.0
177800,sealed,9.46091579922896,1.2338954099999997,7.667518431913903
177800,unmetalled,0.0,1.2338954099999997,0.0
177700,metalled,0.0,2.07883686,0.0
177700,sealed,13.679529986558183,2.07883686,6.580376868321539
177700,unmetalled,0.0,2.07883686,0.0
177600,metalled,0.0,1.0201244500000002,0.0
177600,sealed,7.540846069827684,1.0201244500000002,7.392084436195685
177600,unmetalled,0.0,1.0201244500000002,0.0
177500,metalled,0.0,0.8765565699999999,0.0
177500,sealed,7.053891449958191,0.8765565699999999,8.047274632780622
177500,unmetalled,0.0,0.8765565699999999,0.0
177400,metalled,0.3484820238475686,1.22810027,0.28375698007750505
177400,sealed,8.850519898293697,1.22810027,7.206675313485353
177400,unmetalled,0.0,1.22810027,0.0
177300,metalled,0.0,0.8967823300000001,0.0
177300,sealed,8.959241238987865,0.8967823300000001,9.990430162677116
177300,unmetalled,0.0,0.8967823300000001,0.0
177200,metalled,0.0,1.3185093400000003,0.0
177200,sealed,11.780592891452212,1.3185093400000003,8.934781524909189
177200,unmetalled,0.0,1.3185093400000003,0.0
177100,metalled,0.0,1.09006111,0.0
177100,sealed,11.288239355256065,1.09006111,10.355602315961962
177100,unmetalled,0.0,1.09006111,0.0
177000,metalled,0.0,1.07152117,0.0
177000,sealed,10.738366146953334,1.07152117,10.021608949595773
177000,unmetalled,0.0,1.07152117,0.0
176900,metalled,0.0,1.26341779,0.0
176900,sealed,11.91133455518344,1.26341779,9.427866735344482
176900,unmetalled,0.0,1.26341779,0.0
176800,metalled,0.0,0.86398333,0.0
176800,sealed,7.74704672061597,0.86398333,8.966662262587832
176800,unmetalled,0.0,0.86398333,0.0
176700,metalled,0.0,0.7339269300000001,0.0
176700,sealed,7.61693407536768,0.7339269300000001,10.37832754735908
176700,unmetalled,0.0,0.7339269300000001,0.0
176600,metalled,0.0,1.48944942,0.0
176600,sealed,10.742197052181908,1.48944942,7.212193249356469
176600,unmetalled,0.0,1.48944942,0.0
176500,metalled,0.0,1.59418381,0.0
176500,sealed,8.707721222044137,1.59418381,5.462181441953131
176500,unmetalled,0.0,1.59418381,0.0
176400,metalled,0.0,1.00595244,0.0
176400,sealed,10.915076820194598,1.00595244,10.850489929916169
176400,unmetalled,0.0,1.00595244,0.0
176301,metalled,0.0,4.77884659,0.0
176301,sealed,30.056015478581518,4.77884659,6.289386970796549
176301,unmetalled,0.0,4.77884659,0.0
176202,metalled,0.0,0.88396015,0.0
176202,sealed,9.684238271225746,0.88396015,10.955514534479576
