geometry_id,layer_type,site_ref,object_id,region,state_highway,reference_station,reference_position_km,description,lane,monitoring_type,site_type,equipment_current,accepted_days,percent_heavy,aadt_5_years_ago,aadt_4_years_ago,aadt_3_years_ago,aadt_2_years_ago,aadt_1_year_ago,latest_aadt,latest_aadt_rank,aadt_change_5yr_percent,latitude,longitude,point_radius_m,point_fill_color_value,point_line_color_value,point_fill_color_hex,point_line_color_hex,point_line_width_m,tooltip_html
nzta_tms_site_01c20551,point,01C20551,701,03 - Waikato,SH 1C,552,0.25,Sth of Massey St - Dec,Dec,Non-Continuous,Regional Non-Continuous,Single Loop,21,8.1,,,14020,11896,13699,13699,11,,-37.7972528,175.2607512,502,13699,13699,#fa8363cc,#fa8363ff,20,"<div><strong>Sth of Massey St - Dec</strong><br><span>Site ref: 01C20551</span><br><span>Region: 03 - Waikato</span><br><span>State highway: SH 1C</span><br><span>Site type: Regional Non-Continuous</span><br><span>Latest AADT: 13,699</span><br><span>Heavy vehicles: 8.1%</span></div>"
nzta_tms_site_00300003,point,00300003,835,03 - Waikato,SH 3,0,3.02,285m Sth of Dixons Rd,Both,Non-Continuous,Regional Non-Continuous,Single Loop,28,5.4,15300,14386,16260,14499,13554,13554,12,-11.4,-37.8283975,175.2970707,502,13554,13554,#fa8363cc,#fa8363ff,20,"<div><strong>285m Sth of Dixons Rd</strong><br><span>Site ref: 00300003</span><br><span>Region: 03 - Waikato</span><br><span>State highway: SH 3</span><br><span>Site type: Regional Non-Continuous</span><br><span>Latest AADT: 13,554</span><br><span>Heavy vehicles: 5.4%</span></div>"
nzta_tms_site_01n20552,point,01N20552,754,03 - Waikato,SH 1N,546,6.02,WexHam - Newstead NB (Mangaonua Bridge) (NB),Dec,Non-Continuous,Regional Non-Continuous,Dual Loop,21,0.0,,,,13623,13432,13432,13,,-37.7923577,175.3432521,501,13432,13432,#fa8263cc,#fa8263ff,20,"<div><strong>WexHam - Newstead NB (Mangaonua Bridge) (NB)</strong><br><span>Site ref: 01N20552</span><br><span>Region: 03 - Waikato</span><br><span>State highway: SH 1N</span><br><span>Site type: Regional Non-Continuous</span><br><span>Latest AADT: 13,432</span><br><span>Heavy vehicles: 0.0%</span></div>"
nzta_tms_site_02300004,point,02300004,776,03 - Waikato,SH 23,0,2.49,40m East of Newcastle Rd,Both,Non-Continuous,Regional Non-Continuous,Single Loop,28,5.4,12334,11785,12534,12690,13275,13275,14,7.6,-37.7972834,175.2343753,500,13275,13275,#fa8162cc,#fa8162ff,20,"<div><strong>40m East of Newcastle Rd</strong><br><span>Site ref: 02300004</span><br><span>Region: 03 - Waikato</span><br><span>State highway: SH 23</span><br><span>Site type: Regional Non-Continuous</span><br><span>Latest AADT: 13,275</span><br><span>Heavy vehicles: 5.4%</span></div>"
nzta_tms_site_01c10551,point,01C10551,692,03 - Waikato,SH 1C,552,0.25,Sth of Massey St - Inc,Inc,Non-Continuous,Regional Non-Continuous,Single Loop,21,5.4,14109,14837,13202,17545,13033,13033,15,-7.6,-37.7972528,175.2607512,499,13033,13033,#f98062cc,#f98062ff,20,"<div><strong>Sth of Massey St - Inc</strong><br><span>Site ref: 01C10551</span><br><span>Region: 03 - Waikato</span><br><span>State highway: SH 1C</span><br><span>Site type: Regional Non-Continuous</span><br><span>Latest AADT: 13,033</span><br><span>Heavy vehicles: 5.4%</span></div>"
nzta_tms_site_01c20558,point,01C20558,705,03 - Waikato,SH 1C,556,0.5,105m Nth of Riverlea Rd,Dec,Non-Continuous,Regional Non-Continuous,Single Loop,21,5.4,15743,16713,15577,11261,11908,11908,16,-24.4,-37.8046138,175.3258377,492,11908,11908,#f97b60cc,#f97b60ff,20,"<div><strong>105m Nth of Riverlea Rd</strong><br><span>Site ref: 01C20558</span><br><span>Region: 03 - Waikato</span><br><span>State highway: SH 1C</span><br><span>Site type: Regional Non-Continuous</span><br><span>Latest AADT: 11,908</span><br><span>Heavy vehicles: 5.4%</span></div>"
nzta_tms_site_01c10550,point,01C10550,691,03 - Waikato,SH 1C,540,9.965,55m Sth of Edgar St - Inc,Inc,Non-Continuous,Regional Non-Continuous,Single Loop,14,5.4,12291,12544,11855,11371,11772,11772,17,-4.2,-37.7869811,175.2570109,491,11772,11772,#f87a60cc,#f87a60ff,20,"<div><strong>55m Sth of Edgar St - Inc</strong><br><span>Site ref: 01C10550</span><br><span>Region: 03 - Waikato</span><br><span>State highway: SH 1C</span><br><span>Site type: Regional Non-Continuous</span><br><span>Latest AADT: 11,772</span><br><span>Heavy vehicles: 5.4%</span></div>"
nzta_tms_site_01c40540,point,01C40540,708,03 - Waikato,SH 1C,540,0.1,GILCHRIST NORTHBOUND OFF RAMP,Ramp,Virtual,Virtual,Virtual,,2.1,10975,12187,11946,13138,11104,11104,18,1.2,-37.7568493,175.2302528,487,11104,11104,#f8765ecc,#f8765eff,20,"<div><strong>GILCHRIST NORTHBOUND OFF RAMP</strong><br><span>Site ref: 01C40540</span><br><span>Region: 03 - Waikato</span><br><span>State highway: SH 1C</span><br><span>Site type: Virtual</span><br><span>Latest AADT: 11,104</span><br><span>Heavy vehicles: 2.1%</span></div>"
nzta_tms_site_01n10541,point,01N10541,739,03 - Waikato,SH 1N,528,12.86,WexHam - Rototuna (SB),Inc,Non-Continuous,Regional Non-Continuous,Dual Loop,28,0.0,,,,9938,10281,10281,19,,-37.7150708,175.2665662,481,10281,10281,#f7725dcc,#f7725dff,20,"<div><strong>WexHam - Rototuna (SB)</strong><br><span>Site ref: 01N10541</span><br><span>Region: 03 - Waikato</span><br><span>State highway: SH 1N</span><br><span>Site type: Regional Non-Continuous</span><br><span>Latest AADT: 10,281</span><br><span>Heavy vehicles: 0.0%</span></div>"
nzta_tms_site_01c10544,point,01C10544,689,03 - Waikato,SH 1C,540,3.167,820m south of Koura Dr over bridge-Inc,Inc,Non-Continuous,Regional Non-Continuous,Tube,14,7.2,,5657,9142,6751,6346,6346,20,,-37.7397615,175.212635,445,6346,6346,#e85963cc,#e85963ff,20,"<div><strong>820m south of Koura Dr over bridge-Inc</strong><br><span>Site ref: 01C10544</span><br><span>Region: 03 - Waikato</span><br><span>State highway: SH 1C</span><br><span>Site type: Regional Non-Continuous</span><br><span>Latest AADT: 6,346</span><br><span>Heavy vehicles: 7.2%</span></div>"
nzta_tms_site_01c20544,point,01C20544,698,03 - Waikato,SH 1C,540,3.146,820m south of Kopra Dr over bridge-Dec,Dec,Non-Continuous,Regional Non-Continuous,Tube,21,11.5,7146,6873,6457,6388,5829,5829,21,-18.4,-37.7397381,175.2124526,439,5829,5829,#e55564cc,#e55564ff,20,"<div><strong>820m south of Kopra Dr over bridge-Dec</strong><br><span>Site ref: 01C20544</span><br><span>Region: 03 - Waikato</span><br><span>State highway: SH 1C</span><br><span>Site type: Regional Non-Continuous</span><br><span>Latest AADT: 5,829</span><br><span>Heavy vehicles: 11.5%</span></div>"
nzta_tms_site_00300000,point,00300000,834,03 - Waikato,SH 3,0,0.1,Start of SH3 - Virtual,Both,Virtual,Virtual,Virtual,,,,,,30996,,,,,-37.8090235,175.2806177,0,,,#000004cc,#000004ff,20,<div><strong>Start of SH3 - Virtual</strong><br><span>Site ref: 00300000</span><br><span>Region: 03 - Waikato</span><br><span>State highway: SH 3</span><br><span>Site type: Virtual</span><br><span>Latest AADT: Not available</span><br><span>Heavy vehicles: Not available</span></div>
nzta_tms_site_00310001,point,00310001,848,03 - Waikato,SH 3,0,0.65,Collins Rd Int (Inc Lanes),Inc,Non-Continuous,Regional Non-Continuous,SCATS,,,,,,15498,,,,,-37.8136341,175.2830296,0,,,#000004cc,#000004ff,20,<div><strong>Collins Rd Int (Inc Lanes)</strong><br><span>Site ref: 00310001</span><br><span>Region: 03 - Waikato</span><br><span>State highway: SH 3</span><br><span>Site type: Regional Non-Continuous</span><br><span>Latest AADT: Not available</span><br><span>Heavy vehicles: Not available</span></div>
