geometry_id,layer_type,road_feature_id,road_surface,road_name,road_length_total_km,road_length_rank,path_width_m,path_color_value,path_color_hex,wkp,tooltip_html
road_3258301,path,3258301,sealed,HUTCHINSON ROAD,0.4924907360814599,435,34,#1464a5cc,#1464a5cc,@EAAydgemIf_s|fAj}@nc@zrBncA|OvGtIdChDbAjHrA~JbAxJl@jJZhGJtPVlPP,<div><strong>HUTCHINSON ROAD</strong><br><span>Surface: sealed</span><br><span>Length: 0.49 km</span><br><span>Length rank: 435</span></div>
road_3258031,path,3258031,sealed,CORRIN STREET,0.4915126368707673,436,34,#1464a5cc,#1464a5cc,@EAA{x~hmIliwbgAk]xf@yBtDq@tCHtBjAtCbAnAxB~AdWbJfJpBpIlA|iAnNrs@nC`Hk@bEm@tC_AfDeB|YiWhCgB,<div><strong>CORRIN STREET</strong><br><span>Surface: sealed</span><br><span>Length: 0.49 km</span><br><span>Length rank: 436</span></div>
road_3258141,path,3258141,sealed,PUKETE ROAD,0.490500973480301,437,34,#1464a5cc,#1464a5cc,@EAAesyfmIxc}~fAgCpLaLbp@wIxhAiB`\DtDv@vC~F|LhNlVzDrGbEzHbErIjGtU,<div><strong>PUKETE ROAD</strong><br><span>Surface: sealed</span><br><span>Length: 0.49 km</span><br><span>Length rank: 437</span></div>
road_3283004,path,3283004,sealed,GILBASS AVENUE,0.4889735065768377,438,34,#1464a5cc,#1464a5cc,@EAAivphmIrzfbgA}\s@mJKiJRuH~@iIhBsGdCiVtMhRlY`HrQ`AxAvAr@h}@bApCa@|BkA`AqBm@mbA,<div><strong>GILBASS AVENUE</strong><br><span>Surface: sealed</span><br><span>Length: 0.49 km</span><br><span>Length rank: 438</span></div>
road_3258112,path,3258112,sealed,YORK STREET,0.4873513776911129,439,34,#1464a5cc,#1464a5cc,@EAAa~}jmIrbpagAjd@giBlA{ElZwlA`YkhA,<div><strong>YORK STREET</strong><br><span>Surface: sealed</span><br><span>Length: 0.49 km</span><br><span>Length rank: 439</span></div>
road_3258150,path,3258150,sealed,CUNNINGHAM ROAD,0.4868447204407435,440,34,#1464a5cc,#1464a5cc,@EAAoiwgmIzkz_gAmd@z\{ElDi\jVii@v`@y`@tYuIfDg_AlQwH~AmK|BsS|H}Br@,<div><strong>CUNNINGHAM ROAD</strong><br><span>Surface: sealed</span><br><span>Length: 0.49 km</span><br><span>Length rank: 440</span></div>
road_3257994,path,3257994,sealed,ENFIELD STREET,0.4867124607136336,441,34,#1464a5cc,#1464a5cc,@EAA{ajfmIxt~`gAqCCiBUuD_AyFcCgTcLcvA_s@osCqwA,<div><strong>ENFIELD STREET</strong><br><span>Surface: sealed</span><br><span>Length: 0.49 km</span><br><span>Length rank: 441</span></div>
road_8326477,path,8326477,sealed,MUSSELWHITE TERRACE,0.4861412752552947,442,34,#1464a5cc,#1464a5cc,@EAAg|ojmI|lr_gAtg@`L~k@w{AdQmd@pVoo@wg@{JqDdK,<div><strong>MUSSELWHITE TERRACE</strong><br><span>Surface: sealed</span><br><span>Length: 0.49 km</span><br><span>Length rank: 442</span></div>
road_3258081,path,3258081,sealed,HARWOOD STREET,0.4859610003844528,443,34,#1464a5cc,#1464a5cc,@EAAyc|hmIlc}`gAsn@hr@at@vz@scB`nB,<div><strong>HARWOOD STREET</strong><br><span>Surface: sealed</span><br><span>Length: 0.49 km</span><br><span>Length rank: 443</span></div>
road_8114881,path,8114881,unmetalled,,0.4851219254540079,444,34,#734a12cc,#734a12cc,@EAAy}nlmI~ix`gA}J`O}i@zoB}[vw@qb@zdA,<div><strong>Road 8114881</strong><br><span>Surface: unmetalled</span><br><span>Length: 0.49 km</span><br><span>Length rank: 444</span></div>
road_3258066,path,3258066,sealed,MARAMA STREET,0.4836698240303797,445,34,#1464a5cc,#1464a5cc,@EAA{{thmIlkragAyq@w}@am@cx@cL{NoBaB}A_AaBc@cCo@eU}BouAiNcJ_A,<div><strong>MARAMA STREET</strong><br><span>Surface: sealed</span><br><span>Length: 0.48 km</span><br><span>Length rank: 445</span></div>
road_6064045,path,6064045,sealed,BOURN BROOK AVENUE,0.4826433911329989,446,34,#1464a5cc,#1464a5cc,@EAAat~gmIf}~|fAcBdIa@nBy@tD]fBIjAKnA@dCF`C`@`Cz@vCbAxCbQx`@~Qld@jAjDt@xCb@lDJlBDzB@|CI|IH|FZnDj@lCx@xCbApCzAhCdB|BfBhCrG`KvN|TpMvR,<div><strong>BOURN BROOK AVENUE</strong><br><span>Surface: sealed</span><br><span>Length: 0.48 km</span><br><span>Length rank: 446</span></div>
road_7742812,path,7742812,sealed,HOUNSELL ROAD,0.4822245863849339,447,34,#1464a5cc,#1464a5cc,@EAAu_remI|qa_gAgFzEyb@jUs\|QoR|DkQuCyxC{lB,<div><strong>HOUNSELL ROAD</strong><br><span>Surface: sealed</span><br><span>Length: 0.48 km</span><br><span>Length rank: 447</span></div>
road_3258177,path,3258177,sealed,MORELAND AVENUE,0.4818141611821412,448,34,#1464a5cc,#1464a5cc,@EAAaotfmIhbi~fAzHtC|FxBjHjBxM`B~{@xDhH?hCsAbCwBdDeF~MoRfOwT`[gc@`VmPxg@w],<div><strong>MORELAND AVENUE</strong><br><span>Surface: sealed</span><br><span>Length: 0.48 km</span><br><span>Length rank: 448</span></div>
road_3257965,path,3257965,sealed,CATALINA DRIVE,0.4799203125117101,449,34,#1464a5cc,#1464a5cc,@EAAyzohmIp{dcgAjGtTnCvJnAdJCxHkAfHyBhEuCxD{DjDkFbCyKtCwN`CcPrDeJtE{RzMgKvKal@ny@qFbHiErF,<div><strong>CATALINA DRIVE</strong><br><span>Surface: sealed</span><br><span>Length: 0.48 km</span><br><span>Length rank: 449</span></div>
road_3258048,path,3258048,sealed,SLIM STREET,0.4797793095791451,450,34,#1464a5cc,#1464a5cc,@EAAeiejmI`vrbgAljCkDbxDab@pIK,<div><strong>SLIM STREET</strong><br><span>Surface: sealed</span><br><span>Length: 0.48 km</span><br><span>Length rank: 450</span></div>
